database,hour,Connected Components (>=5 nodes),Largest Component Nodes,Largest Component Edges,Average Path Length,Diameter
no,429637,2,267.0,9605.0,1.959308383317845,6.0
no,429638,2,251.0,8810.0,2.0605258964143425,6.0
no,429639,2,223.0,5462.0,2.40354704480265,8.0
no,429640,1,214.0,3559.0,2.308411214953271,6.0
no,429641,4,169.0,2626.0,2.328895463510848,6.0
no,429642,1,192.0,3561.0,2.1765924956369984,6.0
no,429643,3,152.0,2602.0,2.2087835482746603,7.0
no,429644,1,141.0,2094.0,2.226950354609929,5.0
no,429645,3,154.0,2634.0,2.2914862914862915,7.0
no,429646,1,134.0,1147.0,2.575468522051397,6.0
no,429647,1,132.0,1618.0,2.3822576914179967,7.0
no,429648,2,160.0,1385.0,2.7481918238993712,6.0
no,429649,2,151.0,1729.0,2.442207505518764,6.0
no,429650,2,145.0,1881.0,2.3753831417624522,6.0
no,429651,2,70.0,526.0,2.404968944099379,6.0
no,429652,1,79.0,411.0,2.9659201557935737,7.0
no,429653,2,20.0,80.0,1.6894736842105262,3.0
no,429654,2,13.0,34.0,1.7179487179487178,3.0
no,429655,0,,,,
no,429656,0,,,,
no,429657,0,,,,
no,429658,2,9.0,15.0,1.5833333333333333,2.0
no,429659,1,57.0,347.0,2.1265664160401,5.0
no,429660,1,90.0,339.0,3.1091136079900124,8.0
no,429661,1,110.0,844.0,2.789658048373645,6.0
no,429662,1,182.0,1875.0,3.0555521826240057,8.0
no,429663,2,179.0,1596.0,3.140041428661101,8.0
no,429664,3,180.0,2214.0,2.524581005586592,6.0
no,429665,1,282.0,10842.0,2.1456298427601523,7.0
no,429666,2,193.0,5254.0,2.1187392055267704,6.0
no,429667,1,155.0,3062.0,2.9176372015081693,9.0
no,429668,1,167.0,4035.0,2.092417574489575,6.0
no,429669,1,148.0,2499.0,2.57878286449715,8.0
no,429670,1,152.0,1656.0,3.039560822586267,7.0
no,429671,4,147.0,1797.0,3.1106141086571615,8.0
no,429672,1,178.0,1863.0,3.1556528915127275,8.0
no,429673,1,206.0,2136.0,2.954439971584182,9.0
no,429674,3,169.0,1542.0,2.7435897435897436,7.0
no,429675,4,149.0,1531.0,3.5321966261563578,10.0
no,429676,2,73.0,454.0,3.3401826484018264,7.0
no,429677,2,27.0,91.0,2.527065527065527,6.0
no,429678,1,5.0,10.0,1.0,1.0
no,429679,1,7.0,12.0,1.619047619047619,3.0
no,429680,2,7.0,9.0,1.6666666666666667,3.0
no,429681,1,13.0,58.0,1.2564102564102564,2.0
no,429682,4,65.0,595.0,2.5783653846153847,7.0
no,429683,3,74.0,536.0,2.5616438356164384,7.0
no,429684,2,151.0,1397.0,3.359470198675497,9.0
no,429685,1,188.0,1897.0,3.0638297872340425,8.0
no,429686,8,162.0,1318.0,3.0611149451729163,8.0
no,429687,1,212.0,2056.0,2.891621210766342,8.0
no,429688,3,128.0,787.0,3.6813484251968505,9.0
no,429689,2,128.0,831.0,3.395669291338583,11.0
no,429690,2,138.0,810.0,3.3015973764942346,7.0
no,429691,2,95.0,413.0,3.0819708846584546,8.0
no,429692,3,95.0,331.0,3.5007838745800672,8.0
no,429693,2,137.0,591.0,3.8126878488621725,9.0
no,429694,3,116.0,479.0,3.4754122938530734,7.0
